Date,PM2
2018-07-31,9.013333333333332
2018-08-01,8.0
2018-08-02,2.31
2018-08-03,2.54375
2018-08-04,3.3200000000000003
2018-08-05,2.49
2018-08-06,1.76875
2018-08-07,1.6800000000000002
2018-08-08,2.31
2018-08-09,2.8117647058823527
2018-08-10,2.75
2018-08-11,2.97
2018-08-12,2.4944444444444445
2018-08-13,2.59
2018-08-14,1.61
2018-08-15,1.71875
2018-08-16,2.309090909090909
2018-08-17,3.1181818181818177
2018-08-18,3.773684210526316
2018-08-19,3.836363636363637
2018-08-20,2.91
2018-08-21,1.8294117647058823
2018-08-22,1.9090909090909087
2018-08-23,2.8363636363636364
2018-08-24,1.7052631578947368
2018-08-25,3.145454545454545
2018-08-26,2.4181818181818184
2018-08-27,1.5375
2018-08-28,1.9916666666666665
2018-08-29,2.390909090909091
2018-08-30,2.5526315789473686
2018-08-31,2.6818181818181817
2018-09-01,3.227272727272727
2018-09-02,3.06875
2018-09-03,4.17
2018-09-04,7.52
2018-09-05,4.533333333333333
2018-09-06,3.5
2018-09-07,2.53
2018-09-08,2.6625
2018-09-09,4.48
2018-09-10,5.066666666666666
2018-09-11,5.211764705882352
2018-09-12,4.39
2018-09-13,3.2444444444444445
2018-09-14,3.485714285714286
2018-09-15,5.64
2018-09-16,6.0200000000000005
2018-09-17,3.705555555555556
2018-09-18,5.090909090909091
2018-09-19,4.581818181818182
2018-09-20,3.8
2018-09-21,3.59
2018-09-22,3.63
2018-09-23,1.822222222222222
2018-09-24,2.75
2018-09-25,2.4
2018-09-26,3.0125
2018-09-27,5.619999999999999
2018-09-28,3.8
2018-09-29,5.95
2018-09-30,8.625
2018-10-01,6.514285714285714
2018-10-02,6.584615384615384
2018-10-03,7.063636363636364
2018-10-04,4.6
2018-10-05,5.550000000000001
2018-10-06,4.3100000000000005
2018-10-07,4.95
2018-10-08,4.35625
2018-10-09,10.30909090909091
2018-10-10,3.945454545454545
2018-10-11,3.831578947368421
2018-10-12,5.73
2018-10-13,4.227272727272728
2018-10-14,3.65
2018-10-15,3.854545454545456
2018-10-16,3.1100000000000003
2018-10-17,4.175
2018-10-18,6.788888888888889
2018-10-19,4.16
2018-10-20,2.45
2018-10-21,5.309090909090909
2018-10-22,7.554545454545454
2018-10-23,2.4105263157894736
2018-10-24,5.918181818181818
2018-10-25,6.34
2018-10-26,6.052941176470589
2018-10-27,4.818181818181818
2018-10-28,3.89090909090909
2018-10-29,3.1125
2018-10-30,8.663636363636364
2018-10-31,11.509090909090908
2018-11-01,9.227777777777778
2018-11-02,15.060000000000002
2018-11-03,19.95
2018-11-04,16.842105263157894
2018-11-05,16.990909090909092
2018-11-06,16.21
2018-11-07,11.72222222222222
2018-11-08,9.363636363636363
2018-11-09,8.054545454545455
2018-11-10,6.173684210526315
2018-11-11,6.118181818181818
2018-11-12,2.363636363636364
2018-11-13,3.1625
2018-11-14,6.515384615384615
2018-11-15,12.38181818181818
2018-11-16,8.994444444444445
2018-11-17,13.918181818181818
2018-11-18,11.5
2018-11-19,4.747058823529412
2018-11-20,5.458333333333333
2018-11-21,5.790909090909091
2018-11-22,5.468421052631579
2018-11-23,8.909090909090908
2018-11-24,8.1
2018-11-25,4.917647058823529
2018-11-26,6.545454545454546
2018-11-27,14.227272727272728
2018-11-28,12.622222222222222
2018-11-29,6.9363636363636365
2018-11-30,7.220000000000001
2018-12-01,9.316666666666666
2018-12-02,12.609090909090911
2018-12-03,8.018181818181818
2018-12-04,12.557894736842105
2018-12-05,12.69090909090909
2018-12-06,14.2
2018-12-07,7.711764705882352
2018-12-08,5.163636363636363
2018-12-09,9.590909090909092
2018-12-10,13.094444444444443
2018-12-11,7.392307692307692
2018-12-12,7.016666666666667
2018-12-13,8.211111111111112
2018-12-14,13.454545454545457
2018-12-15,9.1
2018-12-16,9.647368421052631
2018-12-17,6.090909090909091
2018-12-18,6.525
2018-12-19,4.847368421052631
2018-12-20,18.01818181818182
2018-12-21,15.545454545454543
2018-12-22,15.675
2018-12-23,20.2
2018-12-24,25.625
2018-12-25,10.794117647058824
2018-12-26,15.654545454545454
2018-12-27,17.2
2018-12-28,17.9125
2018-12-29,10.791666666666666
2018-12-30,9.033333333333331
2018-12-31,12.092857142857142
2019-01-01,10.275
2019-01-02,5.508333333333333
2019-01-03,7.694736842105263
2019-01-04,28.89090909090909
2019-01-05,33.59166666666666
2019-01-06,22.58333333333333
2019-01-07,29.125
2019-01-08,21.758333333333336
2019-01-09,8.11
2019-01-10,12.11818181818182
2019-01-11,17.054545454545455
2019-01-12,13.970588235294118
2019-01-13,16.330000000000002
2019-01-14,18.28
2019-01-15,25.37894736842105
2019-01-16,20.181818181818183
2019-01-17,24.42
2019-01-18,14.21764705882353
2019-01-19,12.008333333333333
2019-01-20,17.275000000000002
2019-01-21,13.342105263157896
2019-01-22,10.52
2019-01-23,12.608333333333334
2019-01-24,11.5
2019-01-25,7.366666666666667
2019-01-26,11.591666666666669
2019-01-27,12.052380952380952
2019-01-28,11.383333333333333
2019-01-29,9.183333333333334
2019-01-30,4.505555555555556
2019-01-31,14.583333333333334
2019-02-01,11.36
2019-02-02,12.733333333333333
2019-02-03,5.816666666666666
2019-02-04,4.516666666666667
2019-02-05,5.278947368421052
2019-02-06,13.533333333333331
2019-02-07,17.963636363636365
2019-02-08,8.942857142857143
2019-02-09,8.083333333333334
2019-02-10,14.491666666666667
2019-02-11,5.161111111111111
2019-02-12,4.976923076923077
2019-02-13,4.390909090909091
2019-02-14,6.261111111111111
2019-02-15,14.408333333333331
2019-02-16,13.0
2019-02-17,9.088888888888889
2019-02-18,4.425
2019-02-19,4.658333333333333
2019-02-20,7.9263157894736835
2019-02-21,8.558333333333334
2019-02-22,11.35
2019-02-23,8.968421052631578
2019-02-24,14.991666666666667
2019-02-25,14.575
2019-02-26,13.03888888888889
2019-02-27,19.2
2019-02-28,17.515384615384615
2019-03-01,15.127777777777778
2019-03-02,10.275
2019-03-03,6.891666666666667
2019-03-04,9.371428571428572
2019-03-05,10.733333333333334
2019-03-06,7.475
2019-03-07,4.666666666666667
2019-03-08,7.033333333333334
2019-03-09,4.6000000000000005
2019-03-10,2.9047619047619047
2019-03-11,6.15
2019-03-12,3.5583333333333336
2019-03-13,3.8631578947368426
2019-03-14,4.775
2019-03-15,4.65
2019-03-16,2.7666666666666666
2019-03-17,2.75
2019-03-18,3.2750000000000004
2019-03-19,2.810526315789473
2019-03-20,5.058333333333333
2019-03-21,4.533333333333333
2019-03-22,2.7238095238095235
2019-03-23,4.641666666666667
2019-03-24,6.125
2019-03-25,4.15
2019-03-26,6.054545454545454
2019-03-27,6.025
2019-03-28,5.495238095238095
2019-03-29,5.783333333333334
2019-03-30,8.216666666666667
2019-03-31,7.815789473684211
2019-04-01,10.125
2019-04-02,7.445454545454546
2019-04-03,4.57
2019-04-04,3.85
2019-04-05,3.4
2019-04-06,2.85
2019-04-07,3.845454545454545
2019-04-08,4.441666666666666
2019-04-09,4.0
2019-04-10,3.858333333333333
2019-04-11,3.0083333333333333
2019-04-12,3.344444444444445
2019-04-13,3.107692307692308
2019-04-14,3.716666666666667
2019-04-15,3.325
2019-04-16,3.207692307692308
2019-04-17,2.4833333333333334
2019-04-18,1.838888888888889
2019-04-19,2.316666666666667
2019-04-20,3.1833333333333336
2019-04-21,1.919047619047619
2019-04-22,2.263636363636364
2019-04-23,2.127272727272727
2019-04-24,1.8722222222222225
2019-04-25,2.533333333333333
2019-04-26,2.9454545454545453
2019-04-27,3.4473684210526314
2019-04-28,3.927272727272728
2019-04-29,3.4
2019-04-30,2.652631578947368
2019-05-01,3.5083333333333333
2019-05-02,2.6
2019-05-03,2.788888888888889
2019-05-04,3.4
2019-05-05,2.409090909090909
2019-05-06,1.847058823529412
2019-05-07,4.21
2019-05-08,2.95
2019-05-09,2.4
2019-05-10,2.29
2019-05-11,2.227272727272727
2019-05-12,2.111111111111111
2019-05-13,3.145454545454545
2019-05-14,4.1000000000000005
2019-05-15,3.3736842105263163
2019-05-16,2.727272727272727
2019-05-17,4.327272727272727
2019-05-18,2.8722222222222222
2019-05-19,2.766666666666667
2019-05-20,3.716666666666667
2019-05-21,3.22
2019-05-22,4.816666666666666
2019-05-23,3.766666666666667
2019-05-24,2.5842105263157897
2019-05-25,3.9416666666666655
2019-05-26,12.558333333333332
2019-05-27,2.02
2019-05-28,2.5083333333333333
2019-05-29,2.3000000000000003
2019-05-30,2.7888888888888888
2019-05-31,7.445454545454546
2019-06-01,2.2818181818181817
2019-06-02,2.375
2019-06-03,2.290909090909091
2019-06-04,2.890909090909091
2019-06-05,2.9722222222222223
2019-06-06,3.090909090909091
2019-06-07,3.1
2019-06-08,3.3375
2019-06-09,3.5125
2019-06-10,2.75
2019-06-11,2.253333333333333
2019-06-12,2.3375
2019-06-13,3.6875
2019-06-14,3.826315789473684
2019-06-15,3.409090909090909
2019-06-16,2.7818181818181817
2019-06-17,1.9533333333333327
2019-06-18,3.345454545454545
2019-06-19,3.5454545454545454
2019-06-20,4.84
2019-06-21,6.666666666666667
2019-06-22,8.525
2019-06-23,9.526315789473683
2019-06-24,7.183333333333334
2019-06-25,16.008333333333333
2019-06-26,12.065
2019-06-27,37.10833333333333
2019-06-28,29.65
2019-06-29,37.94736842105263
2019-06-30,35.2
2019-07-01,10.74
2019-07-02,11.03125
2019-07-03,12.436363636363636
2019-07-04,6.43
2019-07-05,9.25
2019-07-06,22.12
2019-07-07,104.85
2019-07-08,64.59285714285714
2019-07-09,116.41818181818184
2019-07-10,105.46999999999998
2019-07-11,84.85333333333332
2019-07-12,34.19
2019-07-13,15.56
2019-07-14,9.076470588235296
2019-07-15,8.522222222222222
2019-07-16,4.6
2019-07-17,5.633333333333334
2019-07-18,12.2
2019-07-19,7.481818181818181
2019-07-20,10.366666666666667
2019-07-21,8.600000000000001
2019-07-22,12.077777777777778
2019-07-23,19.78235294117647
2019-07-24,13.32
2019-07-25,7.911111111111111
2019-07-26,9.988235294117649
2019-07-27,5.666666666666667
2019-07-28,4.0
2019-07-29,4.038461538461538
2019-07-30,6.088888888888889
2019-07-31,7.979999999999999
2019-08-01,9.227777777777778
2019-08-02,9.088888888888889
2019-08-03,2.988888888888889
2019-08-04,2.611764705882353
2019-08-05,2.833333333333333
2019-08-06,2.3125
2019-08-07,2.782352941176471
2019-08-08,3.75
2019-08-09,3.6666666666666665
2019-08-10,4.800000000000001
2019-08-11,4.95
2019-08-12,5.94
2019-08-13,3.9578947368421056
2019-08-14,4.07
2019-08-15,2.84
2019-08-16,2.7214285714285715
2019-08-17,1.825
2019-08-18,2.275
2019-08-19,8.242857142857144
2019-08-20,14.022222222222222
2019-08-21,9.011111111111113
2019-08-22,12.264285714285714
2019-08-23,13.966666666666669
2019-08-24,6.65
2019-08-25,7.723529411764707
2019-08-26,8.8625
2019-08-27,9.685714285714283
2019-08-28,5.0875
2019-08-29,13.2375
2019-08-30,16.7875
2019-08-31,11.047058823529412
2019-09-01,6.855555555555556
2019-09-02,4.199999999999999
2019-09-03,2.5333333333333337
2019-09-04,4.075
2019-09-05,4.9625
2019-09-06,7.25625
2019-09-07,8.01
2019-09-08,5.1571428571428575
2019-09-09,5.071428571428571
2019-09-10,4.325
2019-09-11,2.91
2019-09-12,3.733333333333333
2019-09-13,7.9
2019-09-14,11.510000000000002
2019-09-15,8.31764705882353
2019-09-16,4.69
2019-09-17,3.1181818181818177
